地标经度,地标纬度,对应的LR的半径,LRBG,SLG
118.700765,32.10897,5.01,0.9189,9.1104
118.8183531,32.04922732,1.28,0.7195,0.5912
118.762945,32.090073,1.93,0.9482,3.639
118.797944,32.024061,1.43,0.9352,2.454
118.751169,32.075792,1.93,1.5436,3.0931
118.838464,31.824855,8.87,4.8002,22.7428
118.7550233,32.20925833,3.96,3.101,15.49
118.729883,31.984671,3.74,1.5853,8.3848
118.822774,32.141341,3.89,1.0598,8.6566
118.819429,32.085482,2.98,0.4059,3.0684
118.760758,32.238101,3.03,1.077,18.3025
118.60067,31.852716,8.55,0.3989,26.7233
118.719868,32.044003,1.51,2.2367,5.5947
118.853192,32.024758,2.55,0.2435,4.4553
118.847863,32.030618,2.55,0.5487,3.6674
118.813319,32.069991,2.9,1.6893,1.6709
118.605758,31.873724,8.95,2.2424,24.8166
118.774236,32.06983691,1.09,0.6762,1.4242
118.766763,32.062113,1.06,0.4415,1.019
118.802087,32.002058,1.91,0.3681,4.6748
118.813586,32.136298,4.32,0.4901,8.1764
118.7972,32.001447,1.96,0.1774,4.7156
118.74162,32.040254,1.72,2.1781,3.6376
118.894302,31.909099,5.44,4.782,16.3426
118.83795,31.957549,10.24,1.216,9.885
118.7905369,32.05237855,1.71,0.8676,0.8099
118.732997,32.039356,3.34,4.1399,4.4662
118.7357168,31.99287553,3.86,3.3383,7.3799
118.777333,32.036063,1.71,1.7735,1.9727
118.6069904,31.86396126,8.55,1.261,25.4595
118.8055775,32.05988788,1.28,1.1375,1.3765
118.728369,32.149371,8.06,0.7727,10.4548
118.593565,32.050359,8.52,8.0468,18.1111
118.78473,32.090054,1.97,2.8466,3.5912
118.8181129,32.02808294,1.68,1.0943,2.6816
118.76599,32.071311,4.62,8.0569,1.7916
118.7644917,32.06742561,1.06,0.7227,1.5557
118.947192,32.128953,4.12,0.6021,6.9148
118.720981,31.998782,3.78,0.2122,7.8124
118.746918,32.071713,1.6,1.497,3.203
118.7613,32.0976,2.27,2.4053,4.4056
118.872819,32.116305,9.77,2.3017,4.6364
118.75929,32.114649,2,3.0786,6.1001
118.8138443,32.115491,4.66,1.8062,6.1023
118.730901,32.070861,7.34,2.6703,4.6287
118.789338,32.001769,9.58,15.2991,4.7572
118.953171,32.055385,10.25,13.956,5.8201
118.868392,31.782667,8.57,2.7624,27.5169
118.7934475,32.10709916,2.18,1.7658,5.484
118.779642,31.919492,3.98,1.6849,13.0365
118.46237,31.938399,13.9,12.3118,33.3502
118.856429,31.766496,8.4,1.9366,28.8152
118.7299001,32.08438433,2,1.1768,5.3166
118.804555,32.013568,1.91,1.4371,3.5696
118.796342,32.00269,1.93,0.323,4.593
118.863947,32.043711,6.04,1.3422,4.5036
118.681518,32.10741,4.87,2.6418,10.653
118.7795918,32.08284014,1.71,1.2292,2.7694
118.7915403,32.05926602,1.28,2.1734,1.2317
